RmType,Technical,Term,Subject,CourseName,Section,DaysMet,DaysWK,Duration,HoursPerWeek,Building,RmID,Enrollment,SeatCapacity
Teaching LabSm,1,2014-1Winter,CHEM,CHEM 12200,00_42,T,1,4,4,K,K 205,7,0.44
Teaching LabSm,1,2014-1Winter,GEOS,GEOS 36000,,F,1,2,2,HGS,HGS 301,5,0.42
Teaching LabSm,1,2014-1Winter,GEOS,GEOS 36000,1,T,1,1.5,1.5,HGS,HGS 301,5,0.42
Teaching Lab - Advanced,2,2014-1Winter,CHEM,,,M,1,4,4,J,J 104,12,1
Teaching Lab - Advanced,2,2014-1Winter,CHEM,,,M,1,4,4,K,K 305,12,1
Teaching LabSm,1,2014-1Winter,PHYS,PHYS 23600,,M,1,1,1,KPTC,KPTC ,13,1
Seminar,0,2014-1Winter,GEOS,GEOS 34800,1,MW,2,1.5,3,HGS,HGS 561,5,1
Auditorium,0,2013-3Fall,PSYC,PSYC 20500,0,MW,2,1.5,3,HGS,HGS 101,97,0.9
Auditorium,0,2013-3Fall,SOSC,SOSC 30100,1,MTWRF,5,5,25,K,K ARR,94,1
Auditorium,0,2013-3Fall,PHYS,PHYS 14100,0,T,1,1,1,KPTC,KPTC 216,88,5.5
Auditorium,0,2013-3Fall,PHYS,PHYS 14100,,T,1,1,1,KPTC,KPTC ,88,1
Auditorium,0,2013-3Fall,PHYS,PHYS 14100,0,MWF,3,1,3,KPTC,KPTC 120,88,0.88
Auditorium,0,2013-3Fall,PHYS,PHYS 19700,,M,1,1,1,KPTC,KPTC ,69,1
Auditorium,0,2013-3Fall,PHYS,PHYS 19700,1,MWF,3,1,3,HGS,HGS 101,69,0.64
LectureXL,0,2013-3Fall,PHSC,PHSC 11900,1,MWF,3,1,3,KPTC,KPTC 106,66,0.32
LectureXL,0,2013-3Fall,CHEM,CHEM 26100,1,MWF,3,1,3,K,K 120,54,0.31
LectureXL,0,2013-3Fall,CHEM,CHEM 26100,1,MWF,3,1,3,K,K 120,54,0.31
LectureXL,0,2013-3Fall,CHEM,CHEM 23000,0,TR,2,1.5,3,K,K 120,52,0.3
LectureXL,0,2013-3Fall,CHEM,CHEM 23000,0,TR,2,1.5,3,K,K 120,52,0.3
LectureXL,0,2013-3Fall,PHSC,PHSC 11400,0,TR,2,1.5,3,KPTC,KPTC 120,47,0.47
LectureXL,0,2013-3Fall,NTSC,NTSC 10300,0,MWF,3,1,3,HGS,HGS 101,47,0.44
LectureXL,0,2013-3Fall,HIST,HIST 25902,1,WF,2,1.5,3,K,K 120,46,0.26
LectureLg,0,2013-3Fall,ENGL,ENGL 33000,0,R,1,1.5,1.5,HGS,HGS 101,35,0.32
LectureMed,0,2013-3Fall,SOSC,SOSC 14100,2,T,1,1.5,1.5,K,K 107,19,0.07
LectureMed,0,2013-3Fall,SOSC,SOSC 14100,3,T,1,1.5,1.5,K,K 107,19,0.07
LectureMed,0,2013-3Fall,SOSC,SOSC 14100,5,T,1,1.5,1.5,K,K 107,19,0.07
LectureMed,0,2013-3Fall,MATH,MATH 15100,51,MWF,3,1,3,HGS,HGS 101,19,0.18
LectureMed,0,2013-3Fall,MATH,MATH 13100,44,MWF,3,1,3,K,K 120,19,0.11
LectureMed,0,2013-3Fall,HUMA,HUMA 17000,2,T,1,1.5,1.5,K,K 107,19,0.07
LectureMed,0,2013-3Fall,SOSC,SOSC 14100,1,T,1,1.5,1.5,K,K 107,18,0.06
LectureMed,0,2013-3Fall,SOSC,SOSC 14100,4,T,1,1.5,1.5,K,K 107,18,0.06
LectureMed,0,2013-3Fall,SOSC,SOSC 14100,6,T,1,1.5,1.5,K,K 107,18,0.06
LectureMed,0,2013-3Fall,SOSC,SOSC 14100,7,T,1,1.5,1.5,K,K 107,18,0.06
LectureMed,0,2013-3Fall,SOSC,SOSC 14100,8,T,1,1.5,1.5,K,K 107,18,0.06
LectureMed,0,2013-3Fall,HUMA,HUMA 17000,3,T,1,1.5,1.5,K,K 107,18,0.06
LectureMed,0,2013-3Fall,HUMA,HUMA 17000,4,T,1,1.5,1.5,K,K 107,18,0.06
LectureMed,0,2013-3Fall,HUMA,HUMA 17000,5,T,1,1.5,1.5,K,K 107,18,0.06
LectureMed,0,2013-3Fall,HUMA,HUMA 17000,6,T,1,1.5,1.5,K,K 107,18,0.06
LectureMed,0,2013-3Fall,HUMA,HUMA 17000,1,T,1,1.5,1.5,K,K 107,17,0.06
Seminar,0,2013-3Fall,HUMA,HUMA 17000,7,T,1,1.5,1.5,K,K 107,16,0.06
Seminar,0,2013-3Fall,GEOS,MATH 13100,NN,TR,2,1.5,3,HGS,HGS 101,0,1
AuditoriumLg,0,2013-3Fall,PHSC,PHSC 13500,0,MWF,3,1,3,K,K 107,251,0.88
AuditoriumLg,0,2013-3Fall,CHEM,CHEM 22000,0,TR,2,1.5,3,K,K 107,232,0.81
AuditoriumLg,0,2013-3Fall,CHEM,CHEM 22000,0,TR,2,1.5,3,K,K 107,232,0.81
AuditoriumLg,0,2013-3Fall,PHYS,PHYS 12100,0,R,1,1,1,KPTC,KPTC 107,177,8.85
AuditoriumLg,0,2013-3Fall,PHYS,PHYS 12100,,R,1,1,1,KPTC,KPTC ,177,1
AuditoriumLg,0,2013-3Fall,PHYS,PHYS 12100,0,MWF,3,1,3,KPTC,KPTC 106,177,0.85
AuditoriumLg,0,2013-3Fall,PPHA,PPHA 30800,1,TR,2,1.5,3,K,K 120,168,0.97
AuditoriumLg,0,2013-3Fall,ECON,ECON 19800,1,MW,2,1.5,3,K,K 120,164,0.94
AuditoriumLg,0,2013-3Fall,PBPL,PBPL 22300,1,TR,2,1.5,3,K,K 120,160,0.92
AuditoriumLg,0,2013-3Fall,CHEM,CHEM 11100,1,MWF,3,1,3,K,K 107,147,0.51
AuditoriumLg,0,2013-3Fall,CHEM,CHEM 11100,1,MWF,3,1,3,K,K 107,147,0.51
AuditoriumLg,0,2013-3Fall,CHEM,CHEM 11100,2,MWF,3,1,3,K,K 120,141,0.81
AuditoriumLg,0,2013-3Fall,CHEM,CHEM 11100,2,MWF,3,1,3,K,K 120,141,0.81
AuditoriumLg,0,2013-3Fall,INST,INST 23101,1,T,1,1.5,1.5,K,K 120,129,0.74
AuditoriumLg,0,2013-3Fall,PHSC,PHSC 13400,0,MWF,3,1,3,K,K 107,120,0.42
AuditoriumLg,0,2013-3Fall,PHYS,PHYS 13100,AA,T,1,1,1,KPTC,KPTC 109,116,5.8
AuditoriumLg,0,2013-3Fall,PHYS,PHYS 13100,,T,1,1,1,KPTC,KPTC ,116,1
AuditoriumLg,0,2013-3Fall,PHYS,PHYS 13100,AA,MWF,3,1,3,KPTC,KPTC 106,116,0.56
AuditoriumLg,0,2013-3Fall,PHYS,PHYS 15400,,T,1,1,1,KPTC,KPTC ,111,1
AuditoriumLg,0,2013-3Fall,PHYS,PHYS 15400,0,TR,2,1.5,3,KPTC,KPTC 106,111,0.53
Teaching LabXL,1,2013-3Fall,PHYS,PHYS 15400,0,T,1,1,1,KPTC,KPTC 216,111,6.94
AuditoriumLg,0,2013-3Fall,PHYS,PHYS 13100,BB,W,1,1,1,KPTC,KPTC 116,109,4.95
AuditoriumLg,0,2013-3Fall,PHYS,PHYS 13100,,W,1,1,1,KPTC,KPTC ,109,1
AuditoriumLg,0,2013-3Fall,PHYS,PHYS 13100,BB,TR,2,1.5,3,KPTC,KPTC 106,109,0.52
LectureXL,0,2013-3Fall,PHYS,PHYS 26400,1,TR,2,1.5,3,KPTC,KPTC 105,48,0.98
LectureXL,0,2013-3Fall,CHEM,CHEM 23300,1,TR,2,1.5,3,K,K 101,43,0.65
LectureXL,0,2013-3Fall,PHYS,PHYS 34100,1,TR,2,1.5,3,KPTC,KPTC 103,38,0.78
LectureXL,0,2013-3Fall,CHEM,CHEM 36300,1,TR,2,1.5,3,K,K 102,36,0.55
LectureXL,0,2013-3Fall,CHEM,CHEM 36100,1,TR,2,1.5,3,K,K 101,36,0.55
LectureLg,0,2013-3Fall,CHEM,CHEM 30600,1,MWF,3,1,3,K,K 102,33,0.5
LectureLg,0,2013-3Fall,GEOS,GEOS 13100,0,TR,2,1.5,3,HGS,HGS 184,29,0.83
LectureLg,0,2013-3Fall,PHYS,PHYS 44300,1,MWF,3,1,3,KPTC,KPTC 105,28,0.57
LectureLg,0,2013-3Fall,CHEM,CHEM 10100,0,MWF,3,1,3,K,K 101,28,0.42
LectureLg,0,2013-3Fall,PHYS,PHYS 31600,1,MWF,3,1,3,KPTC,KPTC 101,26,0.87
LectureLg,0,2013-3Fall,PHYS,PHYS 36100,1,TR,2,1.5,3,KPTC,KPTC 105,25,0.51
LectureLg,0,2013-3Fall,CHEM,CHEM 32200,1,TR,2,1.5,3,K,K 102,21,0.32
LectureLg,0,2013-3Fall,CHEM,CHEM 32100,1,MWF,3,1,3,K,K 102,21,0.32
LectureMed,0,2013-3Fall,PHYS,PHYS 25000,1,TR,2,1.5,3,KPTC,KPTC 105,20,0.41
LectureMed,0,2013-3Fall,PHYS,PHYS 33000,1,TR,2,1.5,3,KPTC,KPTC 103,17,0.35
Seminar,0,2013-3Fall,CHEM,CHEM 22000,9,M,1,1,1,K,K 101,16,0.24
Seminar,0,2013-3Fall,CHEM,CHEM 22000,13,T,1,1,1,K,K 101,15,0.23
Seminar,0,2013-3Fall,CHEM,CHEM 22000,10,M,1,1,1,K,K 102,15,0.23
Seminar,0,2013-3Fall,CHEM,CHEM 22000,14,T,1,1,1,K,K 102,15,0.23
Seminar,0,2013-3Fall,PHYS,PHYS 41100,1,MWF,3,1,3,KPTC,KPTC 103,14,0.29
Seminar,0,2013-3Fall,CHEM,CHEM 22000,1,F,1,1,1,K,K 101,14,0.21
Seminar,0,2013-3Fall,CHEM,CHEM 22000,5,R,1,1,1,K,K 101,14,0.21
Seminar,0,2013-3Fall,CHEM,CHEM 22000,17,W,1,1,1,K,K 101,14,0.21
Seminar,0,2013-3Fall,CHEM,CHEM 22000,2,F,1,1,1,K,K 102,14,0.21
Seminar,0,2013-3Fall,CHEM,CHEM 22000,18,W,1,1,1,K,K 102,14,0.21
Seminar,0,2013-3Fall,CHEM,CHEM 10100,,TR,2,1.5,3,KPTC,KPTC 101,14,0.47
Seminar,0,2013-3Fall,CHEM,CHEM 10100,,TR,2,1.5,3,KPTC,KPTC 101,14,0.47
Seminar,0,2013-3Fall,CHEM,CHEM 22000,6,R,1,1,1,K,K 102,12,0.18
Seminar,0,2013-3Fall,GEOS,GEOS 21000,1,MWF,3,1,3,HGS,HGS 184,10,0.29
Seminar,0,2013-3Fall,PHYS,PHYS 48102,1,TR,2,1.5,3,KPTC,KPTC 103,9,0.18
Seminar,0,2013-3Fall,GEOS,GEOS 23200,1,MW,2,1.5,3,HGS,HGS 184,9,0.26
Seminar,0,2013-3Fall,PHYS,PHYS 36700,1,MWF,3,1,3,KPTC,KPTC 105,8,0.16
Seminar,0,2013-3Fall,PHYS,PHYS 49100,1,TR,2,1.5,3,KPTC,KPTC 103,5,0.1
Seminar,0,2013-3Fall,MATH,MATH 10500,30,MWF,3,1,3,KPTC,KPTC 103,5,0.1
Seminar,0,2013-3Fall,PHYS,PHYS 23800,1,MWF,3,1,3,KPTC,KPTC 103,3,0.06
Seminar,0,2013-3Fall,MATH,MATH 13100,TT,TR,2,1.5,3,K,K 102,0,1
Seminar,0,2013-3Fall,PHYS,PHYS 23500,1,W,1,1.5,1.5,KPTC,KPTC 103,64,1.31
Seminar,0,2013-3Fall,PHYS,PHYS 23500,,W,1,1,1,KPTC,KPTC 103,64,1
LectureXL,0,2013-3Fall,PHYS,PHYS 23500,1,MWF,3,1,3,HGS,HGS 101,64,0.59
LectureXL,0,2013-3Fall,PHYS,PHYS 23500,1,MWF,3,1,3,HGS,HGS 101,64,0.59
LectureXL,0,2013-3Fall,PHYS,PHYS 22100,1,M,1,1,1,KPTC,KPTC 105,62,1.27
LectureXL,0,2013-3Fall,PHYS,PHYS 22100,,M,1,1,1,KPTC,KPTC ,62,1
LectureXL,0,2013-3Fall,PHYS,PHYS 22100,1,MWF,3,1,3,KPTC,KPTC 120,62,0.62
LectureXL,0,2013-3Fall,PHYS,PHYS 21101,1,W,1,1.5,1.5,KPTC,KPTC 120,59,0.59
LectureXL,0,2013-3Fall,CHEM,CHEM 12100,0,MWF,3,1,3,K,K 120,59,0.34
LectureXL,0,2013-3Fall,CHEM,CHEM 12100,0,MWF,3,1,3,K,K 120,59,0.34
Seminar,0,2013-3Fall,CHEM,CHEM 12100,44,T,1,1,1,K,K 103,16,0.64
Seminar,0,2013-3Fall,CHEM,CHEM 11100,21,F,1,1,1,K,K 103,16,0.64
Seminar,0,2013-3Fall,CHEM,CHEM 11100,29,M,1,1,1,K,K 103,16,0.64
Seminar,0,2013-3Fall,CHEM,CHEM 11100,33,T,1,1,1,K,K 103,16,0.64
Seminar,0,2013-3Fall,CHEM,CHEM 11100,35,W,1,1,1,K,K 103,16,0.64
Seminar,0,2013-3Fall,CHEM,CHEM 11100,6,R,1,1,1,K,K 106,16,0.64
Seminar,0,2013-3Fall,CHEM,CHEM 11100,14,T,1,1,1,K,K 106,16,0.64
Seminar,0,2013-3Fall,CHEM,CHEM 11100,22,F,1,1,1,K,K 106,16,0.64
Seminar,0,2013-3Fall,CHEM,CHEM 11100,34,T,1,1,1,K,K 106,16,0.64
Seminar,0,2013-3Fall,CHEM,CHEM 11100,36,W,1,1,1,K,K 106,16,0.64
Seminar,0,2013-3Fall,GEOS,GEOS 36900,1,R,1,2,2,HGS,HGS 158,15,1
Seminar,0,2013-3Fall,CHEM,CHEM 22000,3,F,1,1,1,K,K 103,15,0.6
Seminar,0,2013-3Fall,CHEM,CHEM 22000,7,R,1,1,1,K,K 103,15,0.6
Seminar,0,2013-3Fall,CHEM,CHEM 22000,19,W,1,1,1,K,K 103,15,0.6
Seminar,0,2013-3Fall,CHEM,CHEM 12100,41,F,1,1,1,K,K 103,15,0.6
Seminar,0,2013-3Fall,CHEM,CHEM 11100,1,F,1,1,1,K,K 103,15,0.6
Seminar,0,2013-3Fall,CHEM,CHEM 11100,9,M,1,1,1,K,K 103,15,0.6
Seminar,0,2013-3Fall,CHEM,CHEM 11100,17,W,1,1,1,K,K 103,15,0.6
Seminar,0,2013-3Fall,CHEM,CHEM 11100,2,F,1,1,1,K,K 106,15,0.6
Seminar,0,2013-3Fall,CHEM,CHEM 11100,18,W,1,1,1,K,K 106,15,0.6
Seminar,0,2013-3Fall,CHEM,CHEM 11100,26,R,1,1,1,K,K 106,15,0.6
Seminar,0,2013-3Fall,CHEM,CHEM 30400,1,TR,2,1.5,3,K,K 103,14,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 23000,22,R,1,1,1,K,K 106,14,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 23000,23,M,1,1,1,K,K 106,14,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 23000,24,T,1,1,1,K,K 106,14,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 22000,11,M,1,1,1,K,K 103,14,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 22000,15,T,1,1,1,K,K 103,14,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 22000,20,W,1,1,1,K,K 106,14,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 12100,42,R,1,1,1,K,K 103,14,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 12100,43,M,1,1,1,K,K 103,14,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 11100,10,M,1,1,1,K,K 106,14,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 11100,30,M,1,1,1,K,K 106,14,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 10100,25,R,1,1,1,K,K 103,14,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 10100,45,W,1,1,1,K,K 103,14,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 11100,5,R,1,1,1,K,K 103,13,0.52
Seminar,0,2013-3Fall,CHEM,CHEM 11100,13,T,1,1,1,K,K 103,13,0.52
Seminar,0,2013-3Fall,GEOS,GEOS 32700,1,TR,2,1.5,3,HGS,HGS 349,10,1
Seminar,0,2013-3Fall,GEOS,GEOS 26300,0,MWF,3,1,3,HGS,HGS 180,10,0.56
Seminar,0,2013-3Fall,CHEM,CHEM 23000,21,F,1,1,1,K,K 106,10,0.4
Seminar,0,2013-3Fall,GEOS,GEOS 23900,1,MWF,3,1,3,HGS,HGS 451,9,1.8
Seminar,0,2013-3Fall,ASTR,ASTR 31000,1,TR,2,1.5,3,HGS,HGS 451,9,1.8
Seminar,0,2013-3Fall,GEOS,GEOS 25400,1,TR,2,1.5,3,HGS,HGS 180,6,0.33
Seminar,0,2013-3Fall,MATH,MATH 13100,CC,TR,2,1.5,3,K,K 103,0,1
Teaching LabLg,1,2013-3Fall,PHYS,PHYS 13100,BB_11,T,1,4,4,KPTC,KPTC 116,23,1.05
Teaching LabLg,1,2013-3Fall,PHYS,PHYS 13100,AA_04,R,1,4,4,KPTC,KPTC 109,22,1.1
Teaching LabLg,1,2013-3Fall,PHYS,PHYS 13100,BB_13,R,1,4,4,KPTC,KPTC 116,22,1
Teaching LabLg,1,2013-3Fall,PHYS,PHYS 13100,BB_14,F,1,4,4,KPTC,KPTC 116,22,1
Teaching LabLg,1,2013-3Fall,PHYS,PHYS 12100,00_01,T,1,4,4,KPTC,KPTC 107,22,1.1
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,00_01,T,1,1.5,1.5,KPTC,KPTC 312,22,1.22
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,00_05,R,1,1.5,1.5,KPTC,KPTC 312,22,1.22
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,1,T,1,1.5,1.5,KPTC,KPTC 312,22,1.22
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,5,R,1,1.5,1.5,KPTC,KPTC 312,22,1.22
Teaching LabLg,1,2013-3Fall,PHYS,PHYS 15400,00_03,R,1,4,4,KPTC,KPTC 208,21,1.11
Teaching LabLg,1,2013-3Fall,PHYS,PHYS 13100,AA_06,M,1,4,4,KPTC,KPTC 109,21,1.05
Teaching LabLg,1,2013-3Fall,PHYS,PHYS 13100,BB_15,R,1,4,4,KPTC,KPTC 116,21,0.95
Teaching LabLg,1,2013-3Fall,PHYS,PHYS 12100,00_04,W,1,4,4,KPTC,KPTC 107,21,1.05
Teaching LabLg,1,2013-3Fall,PHYS,PHYS 12100,00_06,R,1,4,4,KPTC,KPTC 107,21,1.05
Teaching LabLg,1,2013-3Fall,PHYS,PHYS 12100,00_09,M,1,4,4,KPTC,KPTC 107,21,1.05
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,00_02,T,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,00_03,W,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,00_04,W,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,00_06,R,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,00_07,M,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,00_08,M,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,00_09,M,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,00_11,T,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,00_13,W,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,2,T,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,3,W,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,4,W,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,6,R,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,7,M,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,8,M,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,9,M,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,11,T,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching LabLg,1,2013-3Fall,PHSC,PHSC 13500,13,W,1,1.5,1.5,KPTC,KPTC 312,21,1.17
Teaching Lab,1,2013-3Fall,PHYS,PHYS 13100,AA_01,T,1,4,4,KPTC,KPTC 109,20,1
Teaching Lab,1,2013-3Fall,PHYS,PHYS 13100,AA_02,W,1,4,4,KPTC,KPTC 109,20,1
Teaching Lab,1,2013-3Fall,PHYS,PHYS 12100,00_02,T,1,4,4,KPTC,KPTC 107,20,1
Teaching Lab,1,2013-3Fall,PHYS,PHYS 12100,00_03,W,1,4,4,KPTC,KPTC 107,20,1
Teaching Lab,1,2013-3Fall,PHYS,PHYS 12100,00_07,F,1,4,4,KPTC,KPTC 107,20,1
Teaching LabMed,1,2013-3Fall,PHYS,PHYS 15400,00_04,R,1,4,4,KPTC,KPTC 208,19,1
Teaching LabMed,1,2013-3Fall,PHYS,PHYS 13100,AA_05,F,1,4,4,KPTC,KPTC 109,19,0.95
Teaching LabMed,1,2013-3Fall,PHYS,PHYS 15400,00_02,W,1,4,4,KPTC,KPTC 208,18,0.95
Teaching LabMed,1,2013-3Fall,PHYS,PHYS 15400,00_05,F,1,4,4,KPTC,KPTC 208,18,0.95
Teaching LabMed,1,2013-3Fall,PHYS,PHYS 15400,00_06,F,1,4,4,KPTC,KPTC 208,18,0.95
Teaching LabMed,1,2013-3Fall,PHYS,PHYS 13100,BB_12,W,1,4,4,KPTC,KPTC 116,18,0.82
Teaching LabMed,1,2013-3Fall,PHSC,PHSC 13500,00_10,M,1,1.5,1.5,KPTC,KPTC 312,18,1
Teaching LabMed,1,2013-3Fall,PHSC,PHSC 13500,10,M,1,1.5,1.5,KPTC,KPTC 312,18,1
Teaching LabMed,1,2013-3Fall,PHYS,PHYS 15400,00_01,W,1,4,4,KPTC,KPTC 208,17,0.89
Teaching LabMed,1,2013-3Fall,PHYS,PHYS 14100,00_05,F,1,4,4,KPTC,KPTC 216,17,1.06
Teaching LabMed,1,2013-3Fall,PHYS,PHYS 12100,00_05,R,1,4,4,KPTC,KPTC 107,17,0.85
Teaching LabSm,1,2013-3Fall,NTSC,NTSC 10300,00_02,M,1,3,3,KPTC,KPTC 320,16,0.89
Teaching LabSm,1,2013-3Fall,NTSC,NTSC 10300,00_03,T,1,3,3,KPTC,KPTC 320,16,0.89
Teaching LabSm,1,2013-3Fall,NTSC,NTSC 10300,2,M,1,3,3,KPTC,KPTC 320,16,0.89
Teaching LabSm,1,2013-3Fall,NTSC,NTSC 10300,3,T,1,3,3,KPTC,KPTC 320,16,0.89
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 22000,00_09,W,1,4,4,K,K 301,16,1
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 12100,00_44,R,1,4,4,K,K 205,16,1
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,01_06,T,1,4,4,K,K 202,16,1
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,01_14,R,1,4,4,K,K 202,16,1
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,02_21,M,1,4,4,K,K 211,16,1
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,02_29,W,1,4,4,K,K 211,16,1
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,02_33,R,1,4,4,K,K 211,16,1
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,02_35,F,1,4,4,K,K 211,16,1
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,02_22,M,1,4,4,K,K 212,16,1
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,02_34,R,1,4,4,K,K 212,16,1
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,02_36,F,1,4,4,K,K 212,16,1
Teaching LabSm,1,2013-3Fall,PHYS,PHYS 14100,00_02,W,1,4,4,KPTC,KPTC 216,15,0.94
Teaching LabSm,1,2013-3Fall,PHYS,PHYS 14100,00_06,F,1,4,4,KPTC,KPTC 216,15,0.94
Teaching LabSm,1,2013-3Fall,PHYS,PHYS 12100,00_08,F,1,4,4,KPTC,KPTC 107,15,0.75
Teaching LabSm,1,2013-3Fall,GEOS,GEOS 13100,1,T,1,2,2,HGS,HGS 430,15,0.75
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 22000,00_13,R,1,4,4,K,K 301,15,0.94
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 22000,00_10,W,1,4,4,K,K 302,15,0.94
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 22000,00_14,R,1,4,4,K,K 302,15,0.94
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 22000,00_03,M,1,4,4,K,K 311,15,0.94
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 22000,00_07,T,1,4,4,K,K 311,15,0.94
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 22000,00_19,F,1,4,4,K,K 311,15,0.94
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 12100,00_41,M,1,4,4,K,K 205,15,0.94
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,01_01,M,1,4,4,K,K 201,15,0.94
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,01_09,W,1,4,4,K,K 201,15,0.94
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,01_17,F,1,4,4,K,K 201,15,0.94
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,01_02,M,1,4,4,K,K 202,15,0.94
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,01_18,F,1,4,4,K,K 202,15,0.94
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 11100,02_26,T,1,4,4,K,K 212,15,0.94
Teaching LabSm,1,2013-3Fall,PHYS,PHYS 14100,00_03,R,1,4,4,KPTC,KPTC 216,14,0.88
Teaching LabSm,1,2013-3Fall,PHYS,PHYS 14100,00_04,R,1,4,4,KPTC,KPTC 216,14,0.88
Teaching LabSm,1,2013-3Fall,PHYS,PHYS 13100,AA_03,R,1,4,4,KPTC,KPTC 109,14,0.7
Teaching LabSm,1,2013-3Fall,NTSC,NTSC 10300,00_01,M,1,3,3,KPTC,KPTC 320,14,0.78
Teaching LabSm,1,2013-3Fall,NTSC,NTSC 10300,1,M,1,3,3,KPTC,KPTC 320,14,0.78
Teaching LabSm,1,2013-3Fall,GEOS,GEOS 13100,2,W,1,2,2,HGS,HGS 430,14,0.7
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 23000,00_22,T,1,4,4,K,K 312,14,0.88
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 23000,00_23,W,1,4,4,K,K 312,14,0.88
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 23000,00_24,R,1,4,4,K,K 312,14,0.88
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 22000,00_01,M,1,4,4,K,K 301,14,0.88
Teaching LabSm,1,2013-3Fall,CHEM,CHEM 22000,00_05,T,1,4,4,K,K 301,14,0.88
